teamA;teamB;goalsA;goalsB;region
Litauen;Nordirland;1;4;Europe
Bulgarien;Litauen;1;0;Europe
Schweiz;Italien;0;0;Europe
Italien;Litauen;5;0;Europe
Nordirland;Schweiz;0;0;Europe
Litauen;Bulgarien;3;1;Europe
Schweiz;Nordirland;2;0;Europe
Bulgarien;Nordirland;2;1;Europe
Litauen;Schweiz;0;4;Europe
Italien;Schweiz;1;1;Europe
Nordirland;Litauen;1;0;Europe
Nordirland;Italien;0;0;Europe
Schweiz;Bulgarien;4;0;Europe
Finnland;Bosnien-Herzegowina;2;2;Europe
Frankreich;Ukraine;1;1;Europe
Kasachstan;Frankreich;0;2;Europe
Ukraine;Finnland;1;1;Europe
Bosnien-Herzegowina;Frankreich;0;1;Europe
Ukraine;Kasachstan;1;1;Europe
Kasachstan;Ukraine;2;2;Europe
Frankreich;Bosnien-Herzegowina;1;1;Europe
Finnland;Kasachstan;1;0;Europe
Ukraine;Frankreich;1;1;Europe
Bosnien-Herzegowina;Kasachstan;2;2;Europe
Frankreich;Finnland;2;0;Europe
Kasachstan;Bosnien-Herzegowina;0;2;Europe
Finnland;Ukraine;1;2;Europe
Kasachstan;Finnland;0;2;Europe
Ukraine;Bosnien-Herzegowina;1;1;Europe
Bosnien-Herzegowina;Finnland;1;3;Europe
Frankreich;Kasachstan;8;0;Europe
Bosnien-Herzegowina;Ukraine;0;2;Europe
Finnland;Frankreich;0;2;Europe
Belgien;Wales;3;1;Europe
Estland;Tschechien;2;6;Europe
Belarus;Estland;4;2;Europe
Tschechien;Belgien;1;1;Europe
Belgien;Belarus;8;0;Europe
Wales;Tschechien;1;0;Europe
Estland;Belgien;2;5;Europe
Tschechien;Belarus;1;0;Europe
Belarus;Wales;2;3;Europe
Belgien;Tschechien;3;0;Europe
Belarus;Belgien;0;1;Europe
Wales;Estland;0;0;Europe
Estland;Belarus;2;0;Europe
Tschechien;Wales;2;2;Europe
Belarus;Tschechien;0;2;Europe
Estland;Wales;0;1;Europe
Belgien;Estland;3;1;Europe
